Initial,Final,Total%,Vol%pa,MaxDD%,Sharpe≈,strategy,rebalance_days,stop_loss_pct,trail_k,risk_pct,w7,w14,wv,min_vol_usd,don_win,w_str,w_vol
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,1.5,0.04,0.8,0.2,0.1,500000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,1.5,0.04,0.8,0.2,0.1,1000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,1.5,0.04,0.8,0.2,0.1,2000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,1.5,0.04,0.8,0.3,0.1,500000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,1.5,0.04,0.8,0.3,0.1,1000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,1.5,0.04,0.8,0.3,0.1,2000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,1.5,0.06,0.8,0.2,0.1,500000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,1.5,0.06,0.8,0.2,0.1,1000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,1.5,0.06,0.8,0.2,0.1,2000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,1.5,0.06,0.8,0.3,0.1,500000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,1.5,0.06,0.8,0.3,0.1,1000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,1.5,0.06,0.8,0.3,0.1,2000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,2.0,0.04,0.8,0.2,0.1,500000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,2.0,0.04,0.8,0.2,0.1,1000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,2.0,0.04,0.8,0.2,0.1,2000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,2.0,0.04,0.8,0.3,0.1,500000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,2.0,0.04,0.8,0.3,0.1,1000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,2.0,0.04,0.8,0.3,0.1,2000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,2.0,0.06,0.8,0.2,0.1,500000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,2.0,0.06,0.8,0.2,0.1,1000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,2.0,0.06,0.8,0.2,0.1,2000000.0,,,
22.66,179.55,692.23,141.2,-38.05,2.39,momentum,14,0.03,2.0,0.06,0.8,0.3,0.1,500000.0,,,
